latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
29.69675,6.70082,306.99,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,279.86,0.94,N
29.69735,6.69674,304.97,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,279.61,0.94,N
29.70166,6.71436,321.08,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,280.26,1.5,N
29.85707,6.92535,313.91,0.39,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,278.05,2.81,N
29.8604,6.92599,327.3,0.39,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,282.11,2.81,N
30.18145,7.68803,299.88,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,277.56,0.83,N
30.22213,7.80149,308.66,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,279.03,0.95,N
30.25371,8.08197,297.65,0.38,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,277.24,0.57,N
30.38987,7.90413,301.17,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,277.34,0.45,N
30.39874,6.54122,322.48,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,280.65,1.74,N
30.47355,7.02469,327.35,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,279.52,3.46,N
32.32545,15.21975,300.15,0.41,0.45,2023-12-07,111,1,VIIRS,n,2.0NRT,282.94,0.63,N
32.62596,14.33206,304.15,0.54,0.42,2023-12-07,111,1,VIIRS,n,2.0NRT,288.53,2.25,N
32.63609,14.2216,297.64,0.53,0.42,2023-12-07,111,1,VIIRS,n,2.0NRT,281.17,0.87,N
32.78922,12.67167,310.4,0.46,0.39,2023-12-07,111,1,VIIRS,n,2.0NRT,283.5,2.1,N
32.82257,12.96961,307.58,0.47,0.4,2023-12-07,111,1,VIIRS,n,2.0NRT,282.25,1.47,N
34.98137,5.71898,302.82,0.47,0.4,2023-12-07,111,1,VIIRS,n,2.0NRT,283.88,0.73,N
35.23214,8.174,301.69,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,278.36,0.82,N
35.23275,8.16966,295.32,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,276.65,0.82,N
35.34795,5.76366,302.76,0.47,0.4,2023-12-07,111,1,VIIRS,n,2.0NRT,278.41,1.2,N
35.34859,5.7585,298.42,0.47,0.4,2023-12-07,111,1,VIIRS,n,2.0NRT,276.38,1.2,N
35.70875,4.49512,295.36,0.54,0.42,2023-12-07,111,1,VIIRS,n,2.0NRT,276.71,0.59,N
35.71076,4.47708,301.37,0.55,0.42,2023-12-07,111,1,VIIRS,n,2.0NRT,277.69,0.93,N
35.77723,9.89068,300.36,0.38,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,280.29,1.0,N
35.88115,4.44762,310.35,0.55,0.43,2023-12-07,111,1,VIIRS,n,2.0NRT,279.95,2.16,N
36.08765,6.8025,298.23,0.44,0.38,2023-12-07,111,1,VIIRS,n,2.0NRT,277.18,0.53,N
36.17744,5.56883,311.44,0.49,0.4,2023-12-07,111,1,VIIRS,n,2.0NRT,274.73,1.23,N
36.1813,3.7484,322.68,0.4,0.44,2023-12-07,111,1,VIIRS,n,2.0NRT,278.72,2.52,N
36.5903,10.31557,301.92,0.38,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,280.65,0.52,N
36.60012,2.87732,297.74,0.45,0.47,2023-12-07,111,1,VIIRS,n,2.0NRT,280.56,0.7,N
36.63063,3.23041,304.73,0.43,0.46,2023-12-07,111,1,VIIRS,n,2.0NRT,282.05,1.36,N
36.66325,3.0663,297.49,0.44,0.46,2023-12-07,111,1,VIIRS,n,2.0NRT,280.31,0.59,N
36.74839,3.07915,308.58,0.44,0.46,2023-12-07,111,1,VIIRS,n,2.0NRT,281.53,1.15,N
36.75144,3.07982,307.58,0.44,0.46,2023-12-07,111,1,VIIRS,n,2.0NRT,283.31,0.96,N
37.74925,14.99257,315.42,0.48,0.4,2023-12-07,111,1,VIIRS,n,2.0NRT,261.36,1.41,N
27.30169,2.0677,316.31,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,284.88,1.75,N
27.30215,2.06384,305.44,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,283.77,1.59,N
28.97592,17.46548,332.84,0.32,0.55,2023-12-07,113,1,VIIRS,n,2.0NRT,284.72,2.07,N
28.97666,17.46227,300.77,0.32,0.55,2023-12-07,113,1,VIIRS,n,2.0NRT,282.25,1.49,N
29.20878,16.00144,316.38,0.52,0.5,2023-12-07,113,1,VIIRS,n,2.0NRT,286.15,7.97,N
29.20992,15.99624,336.96,0.52,0.5,2023-12-07,113,1,VIIRS,n,2.0NRT,284.66,10.65,N
29.4429,17.96826,323.04,0.33,0.56,2023-12-07,113,1,VIIRS,n,2.0NRT,281.35,1.98,N
30.40017,19.61108,302.18,0.4,0.6,2023-12-07,113,1,VIIRS,n,2.0NRT,269.0,1.21,N
30.40115,19.60717,321.69,0.4,0.6,2023-12-07,113,1,VIIRS,n,2.0NRT,271.98,1.88,N
30.40489,19.6097,332.14,0.4,0.6,2023-12-07,113,1,VIIRS,n,2.0NRT,271.42,2.34,N
30.40777,19.59787,302.07,0.4,0.6,2023-12-07,113,1,VIIRS,n,2.0NRT,278.92,1.18,N
30.4094,19.59722,304.33,0.4,0.6,2023-12-07,113,1,VIIRS,n,2.0NRT,280.47,1.47,N
30.4126,19.57804,296.5,0.39,0.6,2023-12-07,113,1,VIIRS,n,2.0NRT,284.06,0.56,N
30.66579,8.10158,301.87,0.38,0.36,2023-12-07,113,1,VIIRS,n,2.0NRT,278.33,0.56,N
30.82302,8.02928,300.71,0.39,0.36,2023-12-07,113,1,VIIRS,n,2.0NRT,278.52,0.73,N
30.8374,6.55755,325.96,0.41,0.37,2023-12-07,113,1,VIIRS,n,2.0NRT,280.02,2.34,N
30.83773,6.5607,326.56,0.41,0.37,2023-12-07,113,1,VIIRS,n,2.0NRT,280.89,2.28,N
30.8756,5.64229,341.31,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,282.84,5.03,N
30.87909,5.64292,319.22,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,282.04,5.03,N
30.89742,5.58584,326.14,0.44,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,280.48,2.6,N
30.97881,5.76079,332.34,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,281.11,3.82,N
31.01362,8.16143,300.85,0.39,0.36,2023-12-07,113,1,VIIRS,n,2.0NRT,276.92,0.86,N
31.05725,8.03333,331.61,0.39,0.36,2023-12-07,113,1,VIIRS,n,2.0NRT,280.94,1.9,N
31.17425,16.5079,303.84,0.5,0.49,2023-12-07,113,1,VIIRS,n,2.0NRT,281.87,1.81,N
31.17797,11.61213,298.25,0.44,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,275.79,0.71,N
31.1866,6.78708,316.37,0.4,0.37,2023-12-07,113,1,VIIRS,n,2.0NRT,278.66,1.76,N
31.18997,6.78773,331.77,0.4,0.37,2023-12-07,113,1,VIIRS,n,2.0NRT,282.12,1.76,N
31.35858,6.05079,302.43,0.42,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,278.29,0.97,N
31.3954,6.94143,308.18,0.4,0.37,2023-12-07,113,1,VIIRS,n,2.0NRT,277.9,0.65,N
31.39661,6.93302,331.24,0.4,0.37,2023-12-07,113,1,VIIRS,n,2.0NRT,281.74,5.79,N
31.40463,5.97247,297.36,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,278.58,0.64,N
31.40523,5.96798,296.19,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,278.65,0.64,N
31.40749,5.97759,307.56,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,280.66,0.92,N
31.4081,5.97311,300.95,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,278.67,0.7,N
31.4941,9.4938,295.23,0.39,0.36,2023-12-07,113,1,VIIRS,n,2.0NRT,274.48,0.41,N
31.49438,5.84362,299.68,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,279.4,0.68,N
31.59127,5.95602,321.09,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,279.63,1.54,N
31.64667,5.99407,328.55,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,281.64,2.36,N
31.64728,5.98956,323.99,0.43,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,281.1,2.36,N
