latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
39.610226,-77.642665,16,33,6015,1151,2023-11-26,1552,L9,H,D
39.610321,-77.642615,16,32,4885,6699,2023-11-26,1552,L9,H,D
39.641443,-77.685194,16,33,5889,1040,2023-11-26,1552,L9,H,D
39.652128,-77.680838,16,33,5900,1000,2023-11-26,1552,L9,L,D
39.652151,-77.680568,16,32,4781,6541,2023-11-26,1552,L9,L,D
39.746526,-78.84035,16,33,2575,752,2023-11-26,1552,L9,M,D
39.746563,-78.840115,16,32,1479,6071,2023-11-26,1552,L9,L,D
39.822339,-78.023973,16,32,3820,5880,2023-11-26,1552,L9,H,D
39.827632,-77.569259,16,32,5118,5901,2023-11-26,1552,L9,H,D
39.827895,-77.569619,16,32,5117,5900,2023-11-26,1552,L9,H,D
39.827902,-77.569269,16,32,5118,5900,2023-11-26,1552,L9,H,D
39.837706,-78.216038,16,32,3274,5804,2023-11-26,1552,L9,H,D
39.842378,-77.938264,16,32,4067,5814,2023-11-26,1552,L9,H,D
39.842648,-77.938275,16,32,4067,5813,2023-11-26,1552,L9,H,D
40.002147,-78.050872,16,32,3766,5212,2023-11-26,1552,L9,H,D
40.055997,-77.099873,16,32,6477,5091,2023-11-26,1552,L9,H,D
40.071117,-77.641707,16,32,4938,4994,2023-11-26,1552,L9,H,D
40.071125,-77.641355,16,32,4939,4994,2023-11-26,1552,L9,M,D
40.122357,-78.345579,16,32,2944,4737,2023-11-26,1552,L9,L,D
40.122448,-77.025875,16,32,6693,4850,2023-11-26,1552,L9,H,D
40.122718,-77.025883,16,32,6693,4849,2023-11-26,1552,L9,M,D
40.127552,-78.324714,16,32,3004,4720,2023-11-26,1552,L9,H,D
40.13111,-78.198508,16,32,3363,4720,2023-11-26,1552,L9,H,D
40.13138,-78.198521,16,32,3363,4719,2023-11-26,1552,L9,H,D
40.224125,-76.911142,16,32,7027,4481,2023-11-26,1552,L9,H,D
40.290234,-78.462177,16,32,2637,4103,2023-11-26,1552,L9,M,D
40.319741,-78.933156,16,32,1307,3938,2023-11-26,1552,L9,H,D
40.319753,-78.932804,16,32,1308,3938,2023-11-26,1552,L9,H,D
40.405891,-77.584059,16,32,5138,3760,2023-11-26,1552,L9,L,D
40.431265,-77.771746,16,32,4610,3650,2023-11-26,1552,L9,L,D
40.449016,-78.203288,16,32,3392,3543,2023-11-26,1552,L9,H,D
40.449296,-78.202948,16,32,3393,3542,2023-11-26,1552,L9,H,D
40.455592,-78.910662,16,32,1393,3438,2023-11-26,1552,L9,L,D
40.462146,-77.723132,16,32,4751,3540,2023-11-26,1552,L9,H,D
40.626157,-77.570546,16,32,5200,2946,2023-11-26,1552,L9,H,D
40.669698,-78.05663,16,32,3835,2741,2023-11-26,1552,L9,H,D
40.693637,-78.229186,16,32,3352,2635,2023-11-26,1552,L9,M,D
40.806514,-77.841719,16,32,4457,2255,2023-11-26,1552,L9,H,D
40.891827,-77.710063,16,31,3367,7181,2023-11-26,1552,L9,H,D
40.891827,-77.710063,16,32,4837,1951,2023-11-26,1552,L9,H,D
40.891836,-77.709707,16,31,3368,7181,2023-11-26,1552,L9,H,D
40.891836,-77.709707,16,32,4838,1951,2023-11-26,1552,L9,H,D
40.892097,-77.710074,16,31,3367,7180,2023-11-26,1552,L9,H,D
40.892097,-77.710074,16,32,4837,1950,2023-11-26,1552,L9,H,D
40.892106,-77.709718,16,31,3368,7180,2023-11-26,1552,L9,H,D
40.892106,-77.709718,16,32,4838,1950,2023-11-26,1552,L9,H,D
40.892367,-77.710085,16,32,4837,1949,2023-11-26,1552,L9,H,D
40.892367,-77.710085,16,31,3367,7179,2023-11-26,1552,L9,H,D
40.901022,-78.045186,16,32,3897,1886,2023-11-26,1552,L9,H,D
41.119265,-77.510737,16,32,5421,1126,2023-11-26,1552,L9,H,D
41.119265,-77.510737,16,31,3951,6356,2023-11-26,1552,L9,H,D
41.119535,-77.510748,16,31,3951,6355,2023-11-26,1552,L9,M,D
41.119535,-77.510748,16,32,5421,1125,2023-11-26,1552,L9,M,D
41.283356,-78.639563,16,31,817,5637,2023-11-26,1552,L9,M,D
41.283356,-78.639563,16,32,2287,407,2023-11-26,1552,L9,M,D
41.283367,-78.639205,16,32,2288,407,2023-11-26,1552,L9,M,D
41.283367,-78.639205,16,31,818,5637,2023-11-26,1552,L9,M,D
41.283626,-78.639578,16,31,817,5636,2023-11-26,1552,L9,H,D
41.283626,-78.639578,16,32,2287,406,2023-11-26,1552,L9,H,D
41.283637,-78.63922,16,31,818,5636,2023-11-26,1552,L9,H,D
41.283637,-78.63922,16,32,2288,406,2023-11-26,1552,L9,H,D
41.423315,-78.526418,16,31,1154,5132,2023-11-26,1552,L9,H,D
41.590642,-78.470025,16,31,1336,4519,2023-11-26,1552,L9,M,D
41.660187,-77.122713,16,31,5086,4383,2023-11-26,1552,L9,L,D
41.868533,-76.969462,16,31,5529,3622,2023-11-26,1552,L9,L,D
41.987428,-77.030705,16,31,5370,3178,2023-11-26,1552,L9,L,D
42.031753,-76.678774,16,31,6345,3035,2023-11-26,1552,L9,L,D
42.033255,-77.051733,16,31,5316,3007,2023-11-26,1552,L9,L,D
42.513712,-76.717544,16,31,6274,1249,2023-11-26,1552,L9,M,D
35.481433,-80.261256,16,35,941,5971,2023-11-26,1553,L9,H,D
35.481711,-80.262576,16,35,937,5970,2023-11-26,1553,L9,H,D
35.481982,-80.262574,16,35,937,5969,2023-11-26,1553,L9,H,D
35.56481,-80.481299,16,35,274,5667,2023-11-26,1553,L9,H,D
35.56508,-80.481297,16,35,274,5666,2023-11-26,1553,L9,H,D
35.565082,-80.481628,16,35,273,5666,2023-11-26,1553,L9,H,D
35.565351,-80.481295,16,35,274,5665,2023-11-26,1553,L9,H,D
35.565352,-80.481626,16,35,273,5665,2023-11-26,1553,L9,H,D
35.803003,-80.400067,16,35,514,4785,2023-11-26,1553,L9,M,D
35.803274,-80.400065,16,35,514,4784,2023-11-26,1553,L9,M,D
35.838365,-80.019129,16,35,1660,4645,2023-11-26,1553,L9,M,D
36.18029,-80.09495,16,35,1420,3383,2023-11-26,1553,L9,M,D
36.18056,-80.094947,16,35,1420,3382,2023-11-26,1553,L9,H,D
36.180831,-80.094943,16,35,1420,3381,2023-11-26,1553,L9,M,D
37.014986,-80.040634,16,35,1552,295,2023-11-26,1553,L9,H,D
37.273425,-79.998451,16,34,507,4648,2023-11-26,1553,L9,H,D
37.273428,-79.998789,16,34,506,4648,2023-11-26,1553,L9,H,D
37.273692,-79.998109,16,34,508,4647,2023-11-26,1553,L9,H,D
37.273695,-79.998447,16,34,507,4647,2023-11-26,1553,L9,H,D
37.273698,-79.998786,16,34,506,4647,2023-11-26,1553,L9,H,D
37.273963,-79.998106,16,34,508,4646,2023-11-26,1553,L9,H,D
37.273965,-79.998444,16,34,507,4646,2023-11-26,1553,L9,H,D
35.186542,-80.347628,16,36,1847,1753,2023-11-26,1554,L9,H,D
35.481433,-80.261256,16,36,2101,661,2023-11-26,1554,L9,H,D
35.481711,-80.262576,16,36,2097,660,2023-11-26,1554,L9,H,D
35.481982,-80.262574,16,36,2097,659,2023-11-26,1554,L9,H,D
35.56481,-80.481299,16,36,1434,357,2023-11-26,1554,L9,H,D
35.56508,-80.481297,16,36,1434,356,2023-11-26,1554,L9,H,D
35.565082,-80.481628,16,36,1433,356,2023-11-26,1554,L9,H,D
35.565351,-80.481295,16,36,1434,355,2023-11-26,1554,L9,H,D
35.565352,-80.481626,16,36,1433,355,2023-11-26,1554,L9,H,D
26.664837,-80.941864,16,41,6060,6720,2023-11-26,1556,L9,L,D
26.665107,-80.941864,16,41,6060,6719,2023-11-26,1556,L9,M,D
26.665107,-80.940959,16,41,6063,6719,2023-11-26,1556,L9,H,D
26.665107,-80.940658,16,41,6064,6719,2023-11-26,1556,L9,M,D
26.665376,-80.936437,16,41,6078,6718,2023-11-26,1556,L9,M,D
26.665378,-80.941261,16,41,6062,6718,2023-11-26,1556,L9,M,D
26.665378,-80.940959,16,41,6063,6718,2023-11-26,1556,L9,H,D
26.665378,-80.940658,16,41,6064,6718,2023-11-26,1556,L9,H,D
26.665649,-80.94126,16,41,6062,6717,2023-11-26,1556,L9,H,D
26.665649,-80.940959,16,41,6063,6717,2023-11-26,1556,L9,H,D
26.66592,-80.94126,16,41,6062,6716,2023-11-26,1556,L9,M,D
26.66592,-80.940959,16,41,6063,6716,2023-11-26,1556,L9,H,D
26.752195,-81.855694,16,41,3031,6388,2023-11-26,1556,L9,H,D
26.754204,-81.836702,16,41,3094,6381,2023-11-26,1556,L9,M,D
26.754473,-81.837005,16,41,3093,6380,2023-11-26,1556,L9,M,D
26.754475,-81.836704,16,41,3094,6380,2023-11-26,1556,L9,H,D
27.341616,-80.827779,16,41,6435,4221,2023-11-26,1556,L9,H,D
27.553983,-81.789811,16,41,3268,3429,2023-11-26,1556,L9,L,D
44.305839,-89.857816,24,29,1419,5040,2023-11-26,1640,L8,M,D
40.658663,-90.702259,24,32,2772,2667,2023-11-26,1641,L8,L,D
32.517694,-93.531562,24,37,493,6319,2023-11-26,1643,L8,H,D
34.243307,-92.949883,24,36,1111,5246,2023-11-26,1643,L8,H,D
34.243577,-92.949882,24,36,1111,5245,2023-11-26,1643,L8,H,D
34.513847,-92.629419,24,36,2091,4244,2023-11-26,1643,L8,H,D
34.61371,-92.373085,24,36,2873,3871,2023-11-26,1643,L8,L,D
34.673913,-92.459736,24,36,2607,3650,2023-11-26,1643,L8,H,D
34.673915,-92.460064,24,36,2606,3650,2023-11-26,1643,L8,L,D
34.674182,-92.459407,24,36,2608,3649,2023-11-26,1643,L8,H,D
34.674184,-92.459735,24,36,2607,3649,2023-11-26,1643,L8,H,D
34.674185,-92.460062,24,36,2606,3649,2023-11-26,1643,L8,H,D
34.674454,-92.459733,24,36,2607,3648,2023-11-26,1643,L8,L,D
35.401335,-92.825613,24,35,295,6265,2023-11-26,1643,L8,L,D
35.46673,-92.50772,24,36,2446,720,2023-11-26,1643,L8,H,D
35.467001,-92.507718,24,36,2446,719,2023-11-26,1643,L8,H,D
35.467001,-92.507718,24,35,1256,6019,2023-11-26,1643,L8,H,D
35.467271,-92.507717,24,35,1256,6018,2023-11-26,1643,L8,H,D
29.755391,-93.8794,24,39,1743,5917,2023-11-26,1644,L8,L,D
29.755405,-93.877228,24,39,1750,5917,2023-11-26,1644,L8,M,D
